Source Document,Target Document,Reference Type,Source Text,Target Section,Confidence,Act Name,Year,Section,Subsection,Rule Number,SRO Number,Circular Number,Context Before,Context After
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"এই আইনের প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"হার প্রযোজ্য হইবে। ৩ উৎসে কর কর্তনের হার ও পদ্ধতি","র ৩য় অংশে বিস্তারিতভাবে বর্ণিত এবং পরিপত্র নং ১০/"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"এই আইনের দ্বিতীয় তফসিলে",schedule_2,0.600,,,,,,,,"। ২ ব্যক্তিগত করদাতার ক্ষেত্রে সর্বনিম্ন করের হার","র ২য় অংশে নির্ধারিত এবং সাধারণ আদেশ নং ১৫/২০২৪ অন"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"এই আইনের তৃতীয় তফসিলে",schedule_3,0.600,,,,,,,,"তৃপক্ষের নিকট করা যাইবে। আপিলের পদ্ধতি ও সময়সীমা","বর্ণিত এবং পরিপত্র নং ১৩/২০২৪ এ আপিল সংক্রান্ত বি"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"এই আইনের তৃতীয় তফসিলে",schedule_3,0.600,,,,,,,,"১ আপিল দাখিলের সময়সীমা ৬০ (ষাট) দিন এবং আপিল ফি","র ১ম অংশে নির্ধারিত। বিশেষ ক্ষেত্রে সাধারণ আদেশ নং"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলের বিধান",schedule_3,0.600,,,,,,,,"ধিত যেকোনো কোম্পানি এবং এর আয় নির্ধারণে এই আইনের","প্রযোজ্য হইবে। ২ 'করবর্ষ' অর্থ ১ জুলাই হইতে পরবর্"
02_finance_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে ",schedule_3,0.600,,,,,,,,"ম্পানির ক্ষেত্রে ২২.৫ শতাংশ যা আয়কর আইন, ২০২৩ এর","বর্ণিত বিস্তারিত বিধানের সাথে সঙ্গতিপূর্ণ। ৭ আয়কর"
02_finance_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"সে কর কর্তনের হার ৩০ শতাংশ এবং আয়কর আইন, ২০২৩ এর","র ৩য় অংশে বর্ণিত বিশেষ বিধান প্রযোজ্য হইবে। ৮ আয়"
02_finance_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিলে",schedule_2,0.600,,,,,,,,"উপর ০.১০ শতাংশ যেইটি বেশি এবং আয়কর আইন, ২০২৩ এর","র ২য় অংশে এ সংক্রান্ত বিস্তারিত বিধান রহিয়াছে। ২"
02_finance_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"স আইন, ১৯৬৯ (East Pakistan Act No. IV of 1969) এর","র অধীন আমদানি শুল্কের হার সংশোধন করা হইল এবং এসআরও"
02_finance_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"ন প্রদান করা হইয়াছে। উক্ত হার আয়কর আইন, ২০২৩ এর","র সাথে সামঞ্জস্য রাখিয়া নির্ধারিত। ১ যন্ত্রপাতি আ"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.600,,,,,,,,"কর; (গ) এর অধিক আয়ের ক্ষেত্রে আয়কর আইন, ২০২৩ এর","বর্ণিত স্ল্যাব অনুযায়ী কর প্রযোজ্য। ২ মহিলা করদাত"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.600,,,,,,,,"করা হইল: ১ কর স্ল্যাব প্রয়োগ আয়কর আইন, ২০২৩ এর","উল্লিখিত কর স্ল্যাব অর্থ আইন, ২০২৪ এর ৬ম ধারার উপ-"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.600,,,,,,,,"আয়ের সীমা ৪.৫০ লক্ষ টাকা এবং আয়কর আইন, ২০২৩ এর","বর্ণিত অন্যান্য সুবিধাও প্রযোজ্য থাকিবে। ৩ প্রয়োজ"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে ",schedule_3,0.600,,,,,,,,"এর ২৮৬তম ধারায় বর্ণিত আপিল পদ্ধতি এবং উক্ত আইনের","নির্ধারিত সময়সীমা ও ফি সংক্রান্ত নিম্নলিখিত নির্দ"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে",schedule_3,0.600,,,,,,,,"যায়ী আপিল দাখিলের সময়সীমা ৬০ দিন এবং উক্ত আইনের","র ১ম অংশে নির্ধারিত ফি প্রদান করিতে হইবে। ২ আপিল ন"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"্রে অতিরিক্ত শর্ত প্রযোজ্য এবং আয়কর আইন, ২০২৩ এর","র ৩য় অংশে বর্ণিত হার অনুযায়ী কর কর্তন করিতে হইবে"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিলে",schedule_2,0.600,,,,,,,,"ষেত্রে বার্ষিক আয়ের ০.৫%; (২) আয়কর আইন, ২০২৩ এর","র ২য় অংশে বর্ণিত বিশেষ বিধান প্রযোজ্য; (৩) বিশেষ"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে",schedule_3,0.600,,,,,,,,"ারায় বর্ণিত আপিল দাখিলের সময়সীমা এবং উক্ত আইনের","র ১ম অংশে নির্ধারিত ৬০ দিনের সময়সীমা বিশেষ ক্ষেত্"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.600,,,,,,,,"০২৩ এর ৫ম ধারায় বর্ণিত মূল অধিকরণ এবং উক্ত আইনের","বর্ণিত কর অবকাশের পাশাপাশি নিম্নলিখিত বিশেষ সুবিধা"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"১ তথ্য প্রযুক্তি খাতে বিনিয়োগ আয়কর আইন, ২০২৩ এর","র ১ম অংশে বর্ণিত সাধারণ কর অবকাশের অতিরিক্ত হিসাবে"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"% হারে কর কর্তন করিতে হইবে এবং আয়কর আইন, ২০২৩ এর","র ৩য় অংশে বর্ণিত অতিরিক্ত শর্তাবলী প্রযোজ্য হইবে।"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"৩০% হারে উৎসে কর কর্তন করিতে হইবে এবং উক্ত আইনের","র ৩য় অংশে বর্ণিত DTAA এর বিধান প্রযোজ্য ক্ষেত্রে"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিলে",schedule_2,0.600,,,,,,,,"ুদ্র ও মাঝারি শিল্পের ক্ষেত্রে আয়কর আইন, ২০২৩ এর","র ২য় অংশে বর্ণিত সাধারণ সর্বনিম্ন করের পরিবর্তে ০"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিলে",schedule_2,0.600,,,,,,,,"ক রপ্তানিকারী শিল্পের ক্ষেত্রে আয়কর আইন, ২০২৩ এর","র ২য় অংশে বর্ণিত সর্বনিম্ন করের ৫০% হার প্রযোজ্য"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিল ",schedule_1,0.600,,,,,,,,"১৮তম ধারা প্রদত্ত ক্ষমতাবলে কাস্টমস আইন, ১৯৬৯ এর","এবং অর্থ আইন, ২০২৪ এর ১৮তম ধারায় বর্ণিত সংশোধনী অ"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"র নিম্নরূপ নির্ধারণ করা হইল যা আয়কর আইন, ২০২৩ এর","র সাথে সামঞ্জস্যপূর্ণ: ১ শিল্প যন্ত্রপাতি শিল্প যন"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.600,,,,,,,,"তে কাস্টমস শুল্কের হার ১৫% এবং আয়কর আইন, ২০২৩ এর","বর্ণিত অবচয় ভাতার সাথে সামঞ্জস্য রাখিয়া এই হার ন"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিল ",schedule_1,0.600,,,,,,,,"সহ ১৫% হারের বিস্তারিত বিবরণ কাস্টমস আইন, ১৯৬৯ এর","অনুযায়ী নির্ধারিত এবং আয়কর আইন, ২০২৩ এর প্রথম তফ"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.600,,,,,,,,"ম তফসিল অনুযায়ী নির্ধারিত এবং আয়কর আইন, ২০২৩ এর","বর্ণিত অবচয় ভাতার সাথে সামঞ্জস্যপূর্ণ। ২ কাঁচামাল"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিল ",schedule_1,0.600,,,,,,,,"dules 2024 1.0 আয়কর আইন, ২০২৩ এবং অর্থ আইন, ২০২৪","কর হার ও কর অবকাশ আয়কর আইন, ২০২৩ এর ৫ম ধারা এবং অ"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে ",schedule_3,0.600,,,,,,,,"া (২) ২য় অংশ কোম্পানির কর হার আয়কর আইন, ২০২৩ এর","বর্ণিত এবং অর্থ আইন, ২০২৪ এর ৬ম ধারার উপ-ধারা (৩)"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিল ",schedule_3,0.600,,,,,,,,"(৩) তালিকাভুক্ত কোম্পানি ২২.৫% আয়কর আইন, ২০২৩ এর","এবং পরিপত্র নং ১২/২০২৪ ব্যাংক ও আর্থিক প্রতিষ্ঠান"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে",schedule_3,0.600,,,,,,,,"ব্যাংক ও আর্থিক প্রতিষ্ঠান ৪০% আয়কর আইন, ২০২৩ এর","র বিশেষ বিধান মোবাইল ফোন অপারেটর ৪৫% উক্ত তফসিলের"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিল ",schedule_2,0.600,,,,,,,,"ডের পরিপত্র নং ০৯/২০২৪ অনুযায়ী অন্যান্য অব্যাহতি","সর্বনিম্ন কর আয়কর আইন, ২০২৩ এর ১৬৩তম ধারা এবং অর্"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"গণনা - মোট আয়ের ০.৫% নিয়মিত পদ্ধতিতে কর গণনা -","র ১ম অংশ অনুযায়ী দুইটির মধ্যে যেইটি বেশি সেইটি প্"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিল ",schedule_3,0.600,,,,,,,,"অংশ অনুযায়ী দুইটির মধ্যে যেইটি বেশি সেইটি প্রদান","আপিল ও ফি আয়কর আইন, ২০২৩ এর ২৮৬তম ধারা এবং পরিপত্"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"ারা অনুযায়ী উৎসে কর কর্তন করা হয় এবং উক্ত আইনের","র ৩য় অংশে বর্ণিত হার অনুযায়ী কর্তিত হয়। কর্তনযো"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"র আইন, ২০২৩ এর ২য় ও ৮৫তম ধারা আয়কর আইন, ২০২৩ এর","র ৩য় অংশ জাতীয় রাজস্ব বোর্ডের পরিপত্র নং ০৯/২০২৪"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"ইন, ২০২৩ এর ৮৫তম ধারার উপ-ধারা (১) এবং উক্ত আইনের","র ৩য় অংশে বর্ণিত বিধান অনুযায়ী ঠিকাদারি কার্যক্র"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"% হারে কর কর্তন করিতে হইবে এবং আয়কর আইন, ২০২৩ এর","র ৩য় অংশে বর্ণিত অতিরিক্ত শর্তাবলী প্রযোজ্য হইবে।"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"যায়ী ৩০% হারে কর কর্তন করিতে হইবে এবং উক্ত আইনের","র ৩য় অংশে বর্ণিত DTAA এর বিধান প্রযোজ্য ক্ষেত্রে"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"ি আয়কর আইন, ২০২৩ এর ৮৫তম ধারা আয়কর আইন, ২০২৩ এর","র ৩য় অংশ এসআরও নং ২৪১/২০২৪ এর ১ম ধারা জাতীয় রাজস"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"% হারে কর কর্তন করিতে হইবে এবং আয়কর আইন, ২০২৩ এর","র ৩য় অংশে বর্ণিত সাধারণ বিধান প্রযোজ্য হইবে। ২ বি"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিল ",schedule_1,0.600,,,,,,,,"াকা ১২% ৬,০০০ টাকা ৪৪,০০০ টাকা আয়কর আইন, ২০২৩ এর","আয়কর আইন, ২০২৩ এর ৮৫তম ধারা অর্থ আইন, ২০২৪ এর ৭ম"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,", ২০২৪ এর ৭ম ধারার উপ-ধারা (২) আয়কর আইন, ২০২৩ এর","র ৩য় অংশ এসআরও নং ২৪১/২০২৪ এর ২য় ধারা এই বিধিমাল"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"ইন, ২০২৩ এর ৮৫তম ধারার উপ-ধারা (৩) এবং উক্ত আইনের","র ৩য় অংশে বর্ণিত বিধান অনুযায়ী অনাবাসী ব্যক্তি ও"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"ের ক্ষেত্রে সাধারণ হার ৩০% এবং আয়কর আইন, ২০২৩ এর","র ৩য় অংশে বর্ণিত DTAA এর বিধান প্রযোজ্য ক্ষেত্রে"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"২০২৩ এর ৮৫তম ধারার উপ-ধারা (৩) আয়কর আইন, ২০২৩ এর","র ৩য় অংশ আয়কর আইন, ২০২৩ এর ২৮৬তম ধারা এসআরও নং ২"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"তন ৬। আয়কর আইন, ২০২৩ এর ৮৫তম ধারা এবং উক্ত আইনের","র ৩য় অংশে বর্ণিত বিধান অনুযায়ী সুদ প্রদানের ক্ষে"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"ক্ষেত্রে ১০% হার প্রযোজ্য এবং আয়কর আইন, ২০২৩ এর","র ৩য় অংশে বর্ণিত বিশেষ বিধান অনুসরণ করিতে হইবে। ৩"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"য়কর আইন, ২০২৩ এর ৫ম ও ৮ম ধারা আয়কর আইন, ২০২৩ এর","র ৩য় অংশ এই বিধিমালার ৫ম নিয়ম ৭ কর কর্তন ও জমাদা"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"অনুযায়ী ১% হারে কর কর্তন এবং আয়কর আইন, ২০২৩ এর","র ৩য় অংশে বর্ণিত বিশেষ সুবিধা প্রযোজ্য। ৩ তথ্য প্"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"৪ আয়কর আইন, ২০২৩ এর ৮৫তম ধারা আয়কর আইন, ২০২৩ এর","র ৩য় অংশ এসআরও নং ২৩৫/২০২৪ এসআরও নং ২৪১/২০২৪ জাতী"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিল ",schedule_1,0.600,,,,,,,,"অনুযায়ী ভিন্ন হার নিয়ম ৫ এবং আয়কর আইন, ২০২৩ এর","সুদ প্রদান ১০% ৩০% (অনাবাসীদের ক্ষেত্রে) নিয়ম ৬ আ"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"ধারা অর্থ আইন, ২০২৪ এর ৭ম ধারা আয়কর আইন, ২০২৩ এর","র ৩য় অংশ এসআরও নং ২৩৫/২০২৪ এসআরও নং ২৪১/২০২৪ পরিপ"
