Source Document,Target Document,Reference Type,Source Text,Target Section,Confidence,Context
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.500,"বর্ণিত অন্যান্য সুবিধাও প্রযোজ্য থাকিবে। ৩ প্রয়োজ"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে ",schedule_3,0.500,"নির্ধারিত সময়সীমা ও ফি সংক্রান্ত নিম্নলিখিত নির্দ"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে",schedule_3,0.500,"র ১ম অংশে নির্ধারিত ফি প্রদান করিতে হইবে। ২ আপিল ন"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত হার অনুযায়ী কর কর্তন করিতে হইবে"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিলে",schedule_2,0.500,"র ২য় অংশে বর্ণিত বিশেষ বিধান প্রযোজ্য; (৩) বিশেষ"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে",schedule_3,0.500,"র ১ম অংশে নির্ধারিত ৬০ দিনের সময়সীমা বিশেষ ক্ষেত্"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.500,"বর্ণিত কর অবকাশের পাশাপাশি নিম্নলিখিত বিশেষ সুবিধা"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ১ম অংশে বর্ণিত সাধারণ কর অবকাশের অতিরিক্ত হিসাবে"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত অতিরিক্ত শর্তাবলী প্রযোজ্য হইবে।"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত DTAA এর বিধান প্রযোজ্য ক্ষেত্রে"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিলে",schedule_2,0.500,"র ২য় অংশে বর্ণিত সাধারণ সর্বনিম্ন করের পরিবর্তে ০"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিলে",schedule_2,0.500,"র ২য় অংশে বর্ণিত সর্বনিম্ন করের ৫০% হার প্রযোজ্য"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিল ",schedule_1,0.500,"এবং অর্থ আইন, ২০২৪ এর ১৮তম ধারায় বর্ণিত সংশোধনী অ"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র সাথে সামঞ্জস্যপূর্ণ: ১ শিল্প যন্ত্রপাতি শিল্প যন"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.500,"বর্ণিত অবচয় ভাতার সাথে সামঞ্জস্য রাখিয়া এই হার ন"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিল ",schedule_1,0.500,"অনুযায়ী নির্ধারিত এবং আয়কর আইন, ২০২৩ এর প্রথম তফ"
04_sro_notification_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.500,"বর্ণিত অবচয় ভাতার সাথে সামঞ্জস্যপূর্ণ। ২ কাঁচামাল"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিল ",schedule_1,0.500,"কর হার ও কর অবকাশ আয়কর আইন, ২০২৩ এর ৫ম ধারা এবং অ"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে ",schedule_3,0.500,"বর্ণিত এবং অর্থ আইন, ২০২৪ এর ৬ম ধারার উপ-ধারা (৩)"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিল ",schedule_3,0.500,"এবং পরিপত্র নং ১২/২০২৪ ব্যাংক ও আর্থিক প্রতিষ্ঠান"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে",schedule_3,0.500,"র বিশেষ বিধান মোবাইল ফোন অপারেটর ৪৫% উক্ত তফসিলের"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিল ",schedule_2,0.500,"সর্বনিম্ন কর আয়কর আইন, ২০২৩ এর ১৬৩তম ধারা এবং অর্"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ১ম অংশ অনুযায়ী দুইটির মধ্যে যেইটি বেশি সেইটি প্"
05_tax_schedules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিল ",schedule_3,0.500,"আপিল ও ফি আয়কর আইন, ২০২৩ এর ২৮৬তম ধারা এবং পরিপত্"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত হার অনুযায়ী কর্তিত হয়। কর্তনযো"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশ জাতীয় রাজস্ব বোর্ডের পরিপত্র নং ০৯/২০২৪"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত বিধান অনুযায়ী ঠিকাদারি কার্যক্র"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত অতিরিক্ত শর্তাবলী প্রযোজ্য হইবে।"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত DTAA এর বিধান প্রযোজ্য ক্ষেত্রে"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশ এসআরও নং ২৪১/২০২৪ এর ১ম ধারা জাতীয় রাজস"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত সাধারণ বিধান প্রযোজ্য হইবে। ২ বি"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিল ",schedule_1,0.500,"আয়কর আইন, ২০২৩ এর ৮৫তম ধারা অর্থ আইন, ২০২৪ এর ৭ম"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশ এসআরও নং ২৪১/২০২৪ এর ২য় ধারা এই বিধিমাল"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত বিধান অনুযায়ী অনাবাসী ব্যক্তি ও"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত DTAA এর বিধান প্রযোজ্য ক্ষেত্রে"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশ আয়কর আইন, ২০২৩ এর ২৮৬তম ধারা এসআরও নং ২"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত বিধান অনুযায়ী সুদ প্রদানের ক্ষে"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত বিশেষ বিধান অনুসরণ করিতে হইবে। ৩"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশ এই বিধিমালার ৫ম নিয়ম ৭ কর কর্তন ও জমাদা"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত বিশেষ সুবিধা প্রযোজ্য। ৩ তথ্য প্"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশ এসআরও নং ২৩৫/২০২৪ এসআরও নং ২৪১/২০২৪ জাতী"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিল ",schedule_1,0.500,"সুদ প্রদান ১০% ৩০% (অনাবাসীদের ক্ষেত্রে) নিয়ম ৬ আ"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশ এসআরও নং ২৩৫/২০২৪ এসআরও নং ২৪১/২০২৪ পরিপ"
06_tds_rules_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তফসিল-১ ",schedule_১,0.500,"উৎসে কর কর্তনের হার তালিকা ঠিকাদারি কার্যক্রম ৭% ১"
